-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      48.070ms         1.06%      48.070ms     174.166us           0 B           0 B           0 B           0 B           276  
                                    aten::silu_backward         0.01%     739.110us         0.02%       1.214ms      13.196us      47.782ms         1.06%      47.782ms     519.366us           0 B           0 B      46.00 GB      46.00 GB            92  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      47.782ms         1.06%      47.782ms     519.366us           0 B           0 B           0 B           0 B            92  
                                aten::softplus_backward         0.01%     641.069us         0.28%      20.081ms     218.269us      47.739ms         1.05%      47.739ms     518.905us           0 B           0 B      46.00 GB      46.00 GB            92  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      47.739ms         1.05%      47.739ms     518.905us           0 B           0 B           0 B           0 B            92  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      34.627ms         0.77%      34.627ms     188.189us           0 B           0 B           0 B           0 B           184  
                                          aten::sigmoid         0.05%       3.339ms         0.95%      67.670ms     245.181us      32.862ms         0.73%      57.043ms     206.677us           0 B           0 B      46.00 GB      46.00 GB           276  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.862ms         0.73%      32.862ms     119.065us           0 B           0 B           0 B           0 B           276  
                                         aten::softplus         0.02%       1.650ms         1.24%      88.379ms     480.319us      32.616ms         0.72%     175.754ms     955.185us           0 B           0 B     138.00 GB      46.00 GB           184  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.616ms         0.72%      32.616ms     354.521us           0 B           0 B           0 B           0 B            92  
                                        aten::clamp_min         0.02%       1.220ms         0.26%      18.348ms     199.431us      32.578ms         0.72%      34.347ms     373.340us           0 B           0 B      46.00 GB      46.00 GB            92  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.578ms         0.72%      32.578ms     354.113us           0 B           0 B           0 B           0 B            92  
                                             aten::silu         0.01%     972.562us         0.90%      64.743ms     703.724us      32.467ms         0.72%      59.633ms     648.183us           0 B           0 B      46.00 GB      45.50 GB            92  
